Stock Symbol,Entry Date,Entry Price,Exit Date,Exit Price,Profit/Loss,Profit/Loss %,Profit or Loss,Days in Trade,Volume Multiple,RSI Value,Weekly Volume
AJOONI,2021-04-16,5.0534348487854,2021-05-11,6.958191871643066,1.904757022857666,37.69232373334104,Profit,25,3.5499567601421234,55.75808740679981,2029218
ALPSINDUS,2022-04-22,5.550000190734863,2022-06-14,3.799999952316284,-1.750000238418579,-31.531534743728816,Loss,53,7.01504044555047,56.19834691202631,675131
ANKITMETAL,2023-09-15,4.650000095367432,2023-10-12,4.599999904632568,-0.05000019073486328,-1.0752728969764092,Loss,27,5.213983785762567,63.38028254146687,1267622
ACI,2024-02-23,788.814208984375,2025-01-27,535.25,-253.564208984375,-32.14498497825584,Loss,339,6.6768531775598685,89.49242566437172,11259715
AKG,2021-03-05,42.978336334228516,2021-03-31,29.44934844970703,-13.528987884521484,-31.47862164628932,Loss,26,5.395511501929964,90.99283456562483,1316753
ALPSINDUS,2024-04-12,2.5,2024-05-03,3.450000047683716,0.9500000476837158,38.000001907348626,Profit,21,8.243462481502684,50.0,635990
ANMOL,2023-04-21,45.099998474121094,2023-08-30,45.20000076293945,0.10000228881835938,0.22173457250944661,Profit,131,3.3414966765188883,86.72758506521214,3599825
ADVENZYMES,2022-07-22,283.3540344238281,2024-02-06,382.7082824707031,99.354248046875,35.063643349529805,Profit,564,4.818958430855096,41.88100758768922,1202755
ADANIGREEN,2020-06-12,336.3999938964844,2020-06-23,463.6000061035156,127.20001220703125,37.81213273332362,Profit,11,4.143599000600415,89.8128923388629,11588317
AKG,2022-09-02,25.175872802734375,2022-12-19,35.599998474121094,10.424125671386719,41.40522059777227,Profit,108,3.0104431670856857,72.04007230600867,1508945
AMBER,2020-08-07,1779.199951171875,2020-10-19,2462.25,683.050048828125,38.39085361812382,Profit,73,4.206561070117954,76.59334461364918,1230539
ANTGRAPHIC,2022-01-21,2.6500000953674316,2022-02-07,2.5999999046325684,-0.05000019073486328,-1.8867995824705996,Loss,17,4.454313230651091,89.58333178112917,7958419
ARCHIES,2021-07-02,21.200000762939453,2021-07-20,29.200000762939453,8.0,37.73584769857703,Profit,18,3.4968919427015943,81.10465889946852,10704815
AKSHOPTFBR,2020-06-12,6.75,2020-07-14,4.550000190734863,-2.1999998092651367,-32.59258976689091,Loss,32,4.606203675768039,61.1428554457062,3781185
AMBER,2021-09-03,3150.199951171875,2021-11-01,3126.75,-23.449951171875,-0.7443956426687048,Loss,59,3.774620388392328,70.40351279584843,727565
APARINDS,2024-02-02,6284.8720703125,2024-07-03,8616.6396484375,2331.767578125,37.10127353489725,Profit,152,3.1293478867734907,67.19896924836098,1868325
ABB,2024-05-17,8359.9951171875,2025-01-30,5719.35009765625,-2640.64501953125,-31.58668136183823,Loss,258,3.5831027267212945,88.04589953384986,5989794
ACSAL,2024-09-13,98.69999694824219,2024-09-24,138.64999389648438,39.94999694824219,40.47618863574209,Profit,11,5.008810572687224,73.77903922235603,1137000
ARCHIES,2023-12-15,31.200000762939453,2024-03-13,31.350000381469727,0.14999961853027344,0.4807679963535483,Profit,89,6.710237177242035,60.224092599039466,3068606
ABB,2024-02-23,5365.55859375,2024-05-13,7973.4208984375,2607.8623046875,48.60374291178617,Profit,80,9.499289464346928,74.6032878150092,10530469
AETHER,2023-01-06,842.25,2023-06-22,1165.949951171875,323.699951171875,38.43276357042149,Profit,167,3.4212934228290983,42.18318713044107,712920
63MOONS,2020-11-27,89.91287994384766,2021-08-16,88.55863189697266,-1.354248046875,-1.506178033359351,Loss,262,12.77949074371362,58.29756947125885,2819358
AKSHOPTFBR,2020-12-11,8.199999809265137,2021-03-24,5.699999809265137,-2.5,-30.487805587205784,Loss,103,3.1697373502856903,59.80392266859795,3590623
AMBUJACEM,2022-08-19,416.7558898925781,2022-09-20,569.3036499023438,152.54776000976562,36.60362425809649,Profit,32,3.4968653208022236,88.12927091369998,61799708
AFFLE,2022-08-26,1333.5999755859375,2023-03-16,931.7000122070312,-401.89996337890625,-30.136470511130998,Loss,202,3.1045904114181826,69.98862944359765,5335235
APCL,2021-05-21,247.4917449951172,2021-07-01,337.97259521484375,90.48085021972656,36.55913865794258,Profit,41,13.740261674407316,68.48341285582761,2491027
ARIHANTSUP,2023-11-10,215.8374481201172,2023-12-20,246.8777618408203,31.040313720703125,14.381338359517981,Profit,40,3.3928224310472173,72.08300415492891,1890272
63MOONS,2023-06-23,199.30992126464844,2023-08-09,275.6445617675781,76.33464050292969,38.2994684953845,Profit,47,5.283260471708731,72.79666963428816,3387668
63MOONS,2021-10-08,103.6075668334961,2021-11-29,102.96527099609375,-0.6422958374023438,-0.61993139790123,Loss,52,3.8397364072125697,60.98956596249256,1183417
AGARIND,2022-08-05,618.1098022460938,2022-11-14,614.0679931640625,-4.04180908203125,-0.6538982341558253,Loss,101,8.30189626188356,42.79810728492873,1246134
AKSHOPTFBR,2022-09-02,11.449999809265137,2022-09-26,11.149999618530273,-0.3000001907348633,-2.6200890456968273,Loss,24,4.953608179691755,60.83916130552802,8922160
APCOTEXIND,2021-04-30,223.6727294921875,2021-05-11,303.7548522949219,80.08212280273438,35.80325727885907,Profit,11,4.575008452324555,78.71186820467032,2990529
AMIORG,2022-12-02,987.1734619140625,2023-08-23,1363.8724365234375,376.698974609375,38.15934981466997,Profit,264,6.490054362887947,49.99509072638817,1432408
A2ZINFRA,2023-08-25,10.350000381469727,2024-01-04,14.100000381469727,3.75,36.231882722573296,Profit,132,6.273232860330025,74.12587580479607,5754402
ABCAPITAL,2022-12-02,151.6999969482422,2024-04-04,205.5500030517578,53.850006103515625,35.497697552287,Profit,489,3.859274966324555,77.8560231799865,65655514
AGI,2024-12-06,1216.300048828125,2025-01-29,780.4000244140625,-435.9000244140625,-35.83819838156229,Loss,54,5.303276678750196,63.5805222260344,4617799
AKSHOPTFBR,2024-10-18,11.15999984741211,2024-12-30,10.899999618530273,-0.26000022888183594,-2.3297511867092613,Loss,73,8.01950618502174,74.18699734618752,18394340
ANANDRATHI,2023-01-06,730.7749633789062,2023-07-13,995.8445434570312,265.069580078125,36.27239483582125,Profit,188,4.3394167339978615,71.42920558989266,664181
ARSHIYA,2021-12-10,38.099998474121094,2022-02-16,38.099998474121094,0.0,0.0,Loss,68,3.3343554042609154,64.14141256022779,2738201
ADANIGREEN,2024-08-02,1881.4000244140625,2024-11-21,1145.699951171875,-735.7000732421875,-39.10386221406114,Loss,111,11.357059427609274,55.480605512969035,41324440
AGNI,2024-01-05,33.79999923706055,2024-01-16,38.54999923706055,4.75,14.053254755082323,Profit,11,3.518918918918919,62.190813197155364,1085000
ALANKIT,2024-05-24,21.299999237060547,2024-08-23,28.780000686645508,7.480001449584961,35.11737895544271,Profit,91,11.444293604804626,61.11110903338944,8888100
APCOTEXIND,2022-04-22,474.3236083984375,2022-10-31,477.8621520996094,3.538543701171875,0.7460188863716466,Profit,192,11.41402756765214,71.82499156357039,2541221
ANANTRAJ,2022-07-22,72.82495880126953,2022-10-04,101.19831848144531,28.37335968017578,38.96103773653101,Profit,74,5.358165079746279,57.350432873628506,15052611
ARSHIYA,2023-09-08,5.400000095367432,2023-10-30,3.6500000953674316,-1.75,-32.407406835072,Loss,52,3.259112603991466,45.83333209156983,1671934
ABSLAMC,2024-04-26,544.3466186523438,2024-08-20,751.4000244140625,207.05340576171875,38.03705188328852,Profit,116,3.723238788393546,65.80212858030657,4126455
ADANIPOWER,2022-04-01,203.4499969482422,2022-04-26,285.6499938964844,82.19999694824219,40.40304653784483,Profit,25,3.140424518137464,84.63317515661562,746253493
AGSTRA,2023-11-17,92.75,2024-02-12,91.9000015258789,-0.8499984741210938,-0.9164404033650597,Loss,87,8.929839650405778,84.49760944403758,25032573
ALKALI,2022-01-14,112.56288146972656,2022-01-27,113.60865020751953,1.0457687377929688,0.9290529205884246,Profit,13,6.435780769311439,63.46863833914644,1585372
APLAPOLLO,2021-11-12,910.63427734375,2022-01-07,917.3650512695312,6.73077392578125,0.7391303065610977,Profit,56,3.3152259752546387,54.456896107282844,9552454
ANANTRAJ,2023-06-16,166.75572204589844,2023-09-11,231.61404418945312,64.85832214355469,38.89421085394771,Profit,87,3.057082407279679,87.61905574634018,14600675
ADFFOODS,2020-12-04,101.37023162841797,2021-02-10,138.3739776611328,37.003746032714844,36.503562671490705,Profit,68,7.699491061685701,75.52236306860848,10360525
AHL,2024-04-12,428.1000061035156,2024-08-09,583.5,155.39999389648438,36.29992797965722,Profit,119,5.892616802253857,66.34213978279891,3807698
ALKEM,2023-02-10,3245.6064453125,2023-11-17,4415.24658203125,1169.64013671875,36.03764524217083,Profit,280,5.122441444976867,52.546647556872955,1322710
APLLTD,2023-06-09,576.609619140625,2023-08-07,784.4547119140625,207.8450927734375,36.04606754275248,Profit,59,3.8268043287060105,75.80260471691025,2796966
ANDHRAPAP,2020-06-05,32.68782424926758,2022-04-06,44.66975784301758,11.98193359375,36.65564738227714,Profit,670,4.9615411558669,50.074044179710256,708260
ACC,2023-09-01,2005.5272216796875,2024-02-16,2712.6591796875,707.1319580078125,35.25915531655406,Profit,168,3.155827711726002,66.70389921594403,10264813
ALKEM,2023-11-10,4274.1083984375,2024-08-09,5796.85009765625,1522.74169921875,35.627119325645175,Profit,273,4.6555035541356995,56.62574700727569,2933484
ADORWELD,2023-11-10,1482.0076904296875,2025-01-27,1006.8499755859375,-475.15771484375,-32.06175770288916,Loss,444,12.81210045528322,75.79197525946488,1457701
ANDHRAPAP,2022-08-05,51.60887908935547,2022-12-23,50.072784423828125,-1.5360946655273438,-2.9764154785608787,Loss,140,6.414267681321455,60.48448528658221,7410350
APOLLOHOSP,2023-06-02,4937.083984375,2024-02-13,6702.5419921875,1765.4580078125,35.759124483194185,Profit,256,3.6188385927103917,66.14753524917445,6304895
AAKASH,2020-07-31,3.9049999713897705,2020-09-09,5.349999904632568,1.4449999332427979,37.003839790772886,Profit,40,6.0,79.41176447672186,1140000
AHLUCONT,2021-11-12,449.6485290527344,2022-05-11,446.9530944824219,-2.6954345703125,-0.5994536612831669,Loss,180,3.290051851180816,69.61569113984388,714256
ALKYLAMINE,2020-11-27,1581.291015625,2021-03-18,2148.514892578125,567.223876953125,35.87093528947496,Profit,111,3.0752819605075885,69.79976088378702,1285637
ALKYLAMINE,2021-04-30,3342.80517578125,2021-07-27,4567.515625,1224.71044921875,36.63720692105612,Profit,88,6.249425661963326,87.74268806331798,4688391
AARTIDRUGS,2020-05-15,213.1407470703125,2020-06-23,297.96746826171875,84.82672119140625,39.79845353710005,Profit,39,6.0284818240258025,66.7194068683549,6489516
AAKASH,2024-02-09,12.100000381469727,2024-07-03,16.34000015258789,4.239999771118164,35.041319317736686,Profit,145,3.0963686239132793,67.57575815374202,3154328
AJANTPHARM,2024-08-02,2803.04833984375,2024-11-13,2824.89990234375,21.8515625,0.7795642404518022,Profit,103,3.3729860512858107,75.1067464038959,2146900
ALMONDZ,2020-11-20,2.666666030883789,2021-02-10,3.5999999046325684,0.9333338737487793,35.00002861023632,Profit,82,3.5373985371103367,71.13401950362237,969654
ACC,2021-07-23,2256.523193359375,2022-10-13,2236.066162109375,-20.45703125,-0.9065730549635886,Loss,447,5.831122773521356,80.09770585137909,11935387
ANGELONE,2021-05-07,523.771484375,2021-05-31,707.29931640625,183.52783203125,35.0396761767678,Profit,24,11.377424458666766,82.73983327518353,16835211
ADVANIHOTR,2023-10-06,47.29630661010742,2024-01-23,63.86709976196289,16.57079315185547,35.0361251005469,Profit,109,4.226464367871106,59.2982538248428,2825738
ACE,2020-11-27,112.4741439819336,2021-02-02,154.21763610839844,41.743492126464844,37.113856259417254,Profit,67,4.269010709348195,81.00803437316776,7054262
AARTIIND,2021-10-08,1097.9166259765625,2022-05-10,762.698974609375,-335.2176513671875,-30.532159130846736,Loss,214,3.286057246065043,80.38016101656905,16049384
AJMERA,2022-01-14,398.94464111328125,2022-02-09,386.8612976074219,-12.083343505859375,-3.0288271255229815,Loss,26,6.622696780619269,59.52953748951771,1130395
ALOKINDS,2020-05-22,14.600000381469727,2020-06-03,20.350000381469727,5.75,39.383560614819444,Profit,12,4.3134855126138945,66.14285852568497,81438155
360ONE,2023-12-08,638.446533203125,2024-06-26,886.9640502929688,248.51751708984375,38.92534521928035,Profit,201,11.490554456977717,82.80951618138667,17251365
ANGELONE,2022-01-21,1425.70654296875,2022-05-06,1380.3741455078125,-45.3323974609375,-3.1796443443783184,Loss,105,4.524045851716834,44.08225418841884,10011531
APOLLOTYRE,2023-11-10,413.9465637207031,2024-07-30,559.6500244140625,145.70346069335938,35.1986158270583,Profit,263,3.6905241128848574,43.1314799455957,34244877
ACCELYA,2024-01-12,1633.18798828125,2024-03-12,1613.656494140625,-19.531494140625,-1.1959121840701137,Loss,60,5.287837636783192,54.58975359125441,906301
AJOONI,2020-07-03,1.224485993385315,2020-07-16,1.7072839736938477,0.4827979803085327,39.4286241669249,Profit,13,8.8696342628367,60.00000212963106,971834
ALPA,2020-07-31,25.100000381469727,2020-08-12,25.299999237060547,0.1999988555908203,0.7968081774949676,Profit,12,4.1649387266341655,61.500004243851926,2074708
ANGELONE,2022-09-09,1514.9586181640625,2023-02-20,1057.37548828125,-457.5831298828125,-30.204331946528363,Loss,164,3.651417317220913,54.68887295934884,7050742
ACE,2023-07-07,592.8515625,2023-10-31,831.7818603515625,238.9302978515625,40.30187537062662,Profit,116,3.823672980290969,81.3010891810089,7805061
AJOONI,2020-07-31,2.539933919906616,2020-08-13,3.575500011444092,1.0355660915374756,40.771379263896335,Profit,13,3.0337134303387856,94.39999479347898,1286250
ALPHAGEO,2024-06-14,409.4587097167969,2024-09-09,411.91143798828125,2.452728271484375,0.5990172423443685,Profit,87,3.915850229678386,57.77909560475559,606528
ANKITMETAL,2021-10-22,3.5999999046325684,2021-11-03,5.050000190734863,1.450000286102295,40.27778679206071,Profit,12,5.318408158550336,81.03448091590879,2601268
APTECHT,2023-01-06,263.6148986816406,2023-05-26,387.0555114746094,123.44061279296875,46.826113929942956,Profit,140,4.393920330026039,76.49166208098417,4886719
AARTIIND,2023-11-10,510.41015625,2024-02-16,694.2437133789062,183.83355712890625,36.016829774614465,Profit,98,5.178181394216762,59.02369476119974,21881026
ARROWGREEN,2024-05-03,554.5557250976562,2024-08-02,784.1990356445312,229.643310546875,41.41032184032276,Profit,91,11.25705172962276,67.35526371930479,2270613
ARTEMISMED,2022-11-04,73.81890106201172,2023-06-15,103.54598236083984,29.727081298828125,40.27028426480614,Profit,223,3.2243781595611285,74.31076464396911,2326348
ASHAPURMIN,2023-07-21,154.25,2023-08-11,208.6999969482422,54.44999694824219,35.29983594699655,Profit,21,3.1066253791686806,58.405259107765424,5356852
ASAHIINDIA,2024-06-21,675.8299560546875,2024-10-22,680.25,4.4200439453125,0.654017168921528,Profit,123,3.121650528888025,82.8265028349522,3229438
ASHIMASYN,2020-11-27,11.050000190734863,2020-12-22,11.100000381469727,0.05000019073486328,0.4524904060796864,Profit,25,5.706767387085703,74.33155082941103,1050341
APTUS,2022-08-26,337.70758056640625,2023-02-28,235.5124969482422,-102.19508361816406,-30.26141238723795,Loss,186,7.62979572144472,56.219959193122726,6191316
ARTEMISMED,2020-12-04,19.4173641204834,2021-02-16,26.5698184967041,7.152454376220703,36.83535175959116,Profit,74,5.4687667321078,66.80903242304177,612830
ASIANTILES,2023-08-18,54.79999923706055,2023-10-11,74.44999694824219,19.64999771118164,35.85766055612023,Profit,54,4.610390570737082,51.66051224201,13809957
ASHIANA,2021-07-16,168.72654724121094,2021-11-29,168.63096618652344,-0.0955810546875,-0.0566484979692361,Loss,136,5.7153707210801885,63.02520103782335,4155125
APTECHT,2021-07-30,196.28836059570312,2021-11-09,270.8717956542969,74.58343505859375,37.99687094652236,Profit,102,3.070035954644277,76.57021332366209,9278935
ASHOKA,2024-01-12,161.60000610351562,2024-02-12,160.35000610351562,-1.25,-0.7735148222700494,Loss,31,3.3614280110126926,68.35107235630255,43340525
ASAHIINDIA,2020-08-21,232.37301635742188,2021-03-04,316.0865783691406,83.71356201171875,36.02550903886177,Profit,195,6.1153692417774925,77.46478420873774,1239249
ASHOKA,2020-11-14,69.0,2020-12-07,95.8499984741211,26.849998474121094,38.913041266842164,Profit,23,4.611133876024679,61.70212765957447,8188450
ASALCBR,2021-10-08,542.2390747070312,2021-10-20,533.3530883789062,-8.885986328125,-1.638758020698905,Loss,12,7.113090187580769,58.90389004121482,2179650
ARVINDFASN,2022-01-14,312.9598693847656,2022-12-23,300.13323974609375,-12.826629638671875,-4.098490219812268,Loss,343,3.289415356437458,45.84702009045754,2012671
ASHOKA,2022-12-02,81.44999694824219,2023-09-05,112.5,31.050003051757812,38.12155213644599,Profit,277,3.8660453510945896,52.250268871189895,10569152
ASHOKA,2021-10-08,116.0999984741211,2022-05-06,80.3499984741211,-35.75,-30.792420732002633,Loss,210,5.4762824149640545,53.445230194008985,32639900
ASHOKA,2020-08-14,70.9000015258789,2020-12-07,95.8499984741211,24.949996948242188,35.19040396513291,Profit,115,4.471722746084757,58.937198483089865,31890172
AUBANK,2022-01-07,608.2112426757812,2022-06-09,611.0505981445312,2.83935546875,0.4668370575095615,Profit,153,3.5638134139498208,53.41694774440202,37476930
ASHIMASYN,2020-12-11,13.5,2021-05-11,18.700000762939453,5.200000762939453,38.518524169921875,Profit,151,8.68866940645422,79.8283263383571,3761506
ATULAUTO,2023-08-25,460.79998779296875,2023-09-04,632.7000122070312,171.9000244140625,37.304693786427556,Profit,10,6.0332893507174585,66.65324933271589,10062505
ASTERDM,2020-11-14,120.88738250732422,2021-08-30,163.39930725097656,42.511924743652344,35.16655242417601,Profit,289,4.017479795022846,63.2758630091951,3660822
ASIANTILES,2024-06-14,74.66000366210938,2024-08-06,74.83999633789062,0.17999267578125,0.2410831328054197,Profit,53,9.494348110210046,62.461653379597124,27619315
AURIONPRO,2022-07-29,160.30393981933594,2022-09-22,217.08477783203125,56.78083801269531,35.42073767911622,Profit,55,3.7866998960276286,42.3317053155305,1449526
AVONMORE,2024-01-05,9.239999771118164,2024-03-13,8.65999984741211,-0.5799999237060547,-6.277055606851678,Loss,68,3.6198772406171362,76.0975660248088,6070510
ASTERDM,2022-05-27,150.748291015625,2022-11-03,204.8094940185547,54.06120300292969,35.86190107941341,Profit,160,6.8566590075247085,53.64293954197727,14278349
ASLIND,2021-12-17,38.25,2022-01-11,38.0,-0.25,-0.6535947712418277,Loss,25,4.348514851485148,81.85254949028366,1464000
ASTERDM,2022-07-15,162.18359375,2023-01-25,163.3233184814453,1.1397247314453125,0.7027373762614753,Profit,194,3.352419429505707,56.25232676845581,4670869
AVADHSUGAR,2023-09-08,666.7996215820312,2023-12-08,647.6681518554688,-19.1314697265625,-2.8691482579386696,Loss,91,4.907038925448379,80.12918775855182,2612456
ASTRAL,2022-09-09,1936.4725341796875,2023-03-15,1344.3504638671875,-592.1220703125,-30.57735443499744,Loss,187,3.2069317729750315,85.87493650733587,6803711
AWHCL,2024-06-28,511.45001220703125,2024-07-23,694.3499755859375,182.89996337890625,35.761063449710065,Profit,25,4.625952130207384,58.51309411812827,3346413
BAIDFIN,2023-06-16,43.73501205444336,2023-10-05,27.744998931884766,-15.990013122558594,-36.56112659270217,Loss,111,7.211666121156291,66.39343676511267,4355267
AVANTIFEED,2022-01-14,603.9366455078125,2022-03-07,413.5213623046875,-190.415283203125,-31.529016266766973,Loss,52,3.440998753018988,63.237917698534375,2788438
AWHCL,2024-07-26,881.0999755859375,2024-11-18,612.9500122070312,-268.14996337890625,-30.43354565985372,Loss,115,7.025606045412731,82.98041468152505,17725864
AURUM,2020-07-31,5.1512556076049805,2020-09-23,7.013688564300537,1.8624329566955566,36.15493189555534,Profit,54,9.896795383387563,91.51341814935543,1074726
AVADHSUGAR,2024-06-14,635.6679077148438,2024-10-22,616.9000244140625,-18.76788330078125,-2.9524667004583782,Loss,130,7.00160438780105,53.53744886716802,1666334
AVANTIFEED,2024-01-05,446.0301818847656,2024-06-07,609.4970092773438,163.46682739257812,36.64927487683125,Profit,154,4.255954811944475,53.556004710231875,4121456
AWL,2024-08-02,383.1499938964844,2025-01-13,262.0,-121.14999389648438,-31.619469092100637,Loss,164,9.531869438699504,64.09091083698868,59187287
AXISCADES,2022-09-16,180.0,2022-11-01,259.3999938964844,79.39999389648438,44.111107720269096,Profit,46,4.017458925853502,71.39188047517763,2097982
BAJAJELEC,2021-12-17,1219.2110595703125,2022-05-12,851.9284057617188,-367.28265380859375,-30.124616318526133,Loss,146,5.390205482901879,49.384683259723744,6635095
AXISCADES,2020-11-20,58.54999923706055,2021-03-26,40.20000076293945,-18.349998474121094,-31.3407322173047,Loss,126,4.087668853146434,48.713693823528274,1091800
BAJAJCON,2022-12-09,173.1774444580078,2023-08-16,238.44631958007812,65.26887512207031,37.689016214751206,Profit,250,5.557887060216221,68.76290349329639,10585661
BAJAJHIND,2021-05-07,10.25,2021-06-09,14.100000381469727,3.8500003814697266,37.56097933141196,Profit,33,7.2607491776670425,72.56097759539594,220251778
BALAJITELE,2023-08-18,64.69999694824219,2023-10-23,64.55000305175781,-0.149993896484375,-0.23182983548571956,Loss,66,5.790753008656649,86.66666745523467,7439917
BAJAJHIND,2024-02-02,31.200000762939453,2024-03-11,31.200000762939453,0.0,0.0,Loss,38,3.2284191926796835,62.24719272570663,156549797
BAJAJHIND,2022-12-02,13.5,2022-12-19,18.850000381469727,5.350000381469727,39.62963245533131,Profit,17,4.626628088687887,74.14965677462214,70520798
AYMSYNTEX,2022-01-07,123.19999694824219,2022-02-08,124.19999694824219,1.0,0.8116883317944579,Profit,32,6.283015651537058,57.627119406407104,995148
BAGFILMS,2020-12-11,3.9000000953674316,2021-01-25,2.700000047683716,-1.2000000476837158,-30.769231239484363,Loss,45,9.794601445002328,80.43478846775409,3377381
BANCOINDIA,2023-11-10,251.1125946044922,2024-02-16,343.625,92.51240539550781,36.84100574135554,Profit,98,3.8803788574652125,77.15433441082936,3423256
BANCOINDIA,2023-02-17,103.0932388305664,2023-06-05,142.36610412597656,39.272865295410156,38.09451108617807,Profit,108,8.842968763928601,69.11764413571106,8431980
BALRAMCHIN,2023-03-10,394.30517578125,2023-12-08,390.41510009765625,-3.89007568359375,-0.9865647022984758,Loss,273,3.060060906967469,54.70885979331106,16948487
BANCOINDIA,2024-11-22,564.5250244140625,2025-02-10,371.1499938964844,-193.37503051757812,-34.25446564008175,Loss,80,12.029097284519397,83.32725845642452,19599750
BALAMINES,2023-12-29,2656.41162109375,2024-12-30,1743.949951171875,-912.461669921875,-34.34940815182017,Loss,367,3.756050664596635,71.90078636975542,2674961
BAJAJHIND,2020-06-12,6.449999809265137,2020-07-09,6.449999809265137,0.0,0.0,Loss,27,3.4119639754416737,67.05882412339582,32622785
BALMLAWRIE,2023-12-08,166.72195434570312,2024-01-10,225.5621337890625,58.840179443359375,35.29240025662874,Profit,33,3.775893638320479,58.17324028650604,11673987
BALMLAWRIE,2020-06-05,87.25159454345703,2021-03-04,121.6697769165039,34.418182373046875,39.447052576104326,Profit,272,4.912683242863831,54.3941775610918,3863443
BALRAMCHIN,2021-12-31,358.3945617675781,2022-03-14,492.4035339355469,134.00897216796875,37.39146361681534,Profit,73,3.272989051955371,51.63792798798136,12750644
BBL,2023-12-29,2398.980712890625,2024-03-13,2411.83740234375,12.856689453125,0.5359230019666761,Profit,75,4.311167726339863,76.46638011012169,1157458
BANKINDIA,2023-07-07,77.97439575195312,2023-09-18,107.257568359375,29.283172607421875,37.55485672575845,Profit,73,3.2204131043547006,60.58806768633281,85516463
AUTOIND,2021-07-30,69.0,2022-08-19,69.55000305175781,0.5500030517578125,0.7971058721127688,Profit,385,3.1051097621481225,83.25123652584833,572649
BANKINDIA,2022-10-28,55.86564254760742,2022-11-22,76.5654296875,20.699787139892578,37.05280418506365,Profit,25,4.035754165380826,68.17327125268555,72695914
BASF,2021-08-06,3339.741455078125,2023-02-03,2326.642333984375,-1013.09912109375,-30.334657179923862,Loss,546,5.818677562102509,87.56465210063462,1182974
BAJAJHLDNG,2022-09-09,6389.80810546875,2024-02-13,8687.626953125,2297.81884765625,35.96068629493976,Profit,522,3.461642291072113,76.34927332455047,1069434
BEL,2023-12-08,157.16061401367188,2024-03-07,213.85548400878906,56.69486999511719,36.07447727977515,Profit,90,3.252709588829479,67.07516432460503,181430801
BANKINDIA,2022-11-04,63.71728515625,2022-12-07,88.36669158935547,24.64940643310547,38.68558802004705,Profit,33,5.90391213133798,78.77428923277054,152066989
BGRENERGY,2023-10-13,82.69999694824219,2024-02-07,114.0,31.300003051757812,37.84764716659774,Profit,117,4.536638628948068,78.22966633806726,14733050
BEPL,2023-12-15,103.88789367675781,2024-07-05,154.17567443847656,50.28778076171875,48.40581417329219,Profit,203,5.7422334203188194,65.0755992892785,25257207
BCLIND,2023-05-19,45.44511032104492,2023-12-06,69.74335479736328,24.29824447631836,53.46723619915215,Profit,201,3.650011758823113,63.88195569972634,7992960
