stock_symbol,week_start_date,week_end_date,weekly_volume,volume_multiple,rsi_value
360ONE,2023-12-04,2023-12-10,17251365,11.490554456977717,82.80954527203126
3IINFOLTD,2021-11-15,2021-11-21,2041569,8.164550558315343,52.22929878270457
3IINFOLTD,2024-12-09,2024-12-15,9233641,4.062548997364784,49.08328350979392
63MOONS,2020-11-23,2020-11-29,2819358,12.77949074371362,58.29756849013098
63MOONS,2021-10-04,2021-10-10,1183417,3.8397364072125697,60.989570267841366
63MOONS,2023-06-19,2023-06-25,3387668,5.283260471708731,72.79666963428816
A2ZINFRA,2023-08-21,2023-08-27,5754402,6.273232860330025,74.12587580479607
AAKASH,2020-07-27,2020-08-02,1140000,6.0,79.41176447672186
AAKASH,2024-02-05,2024-02-11,3154328,3.0963686239132793,67.57575815374202
AARTIDRUGS,2020-05-11,2020-05-17,6489516,6.0284818240258025,66.7194150296693
AARTIIND,2021-10-04,2021-10-10,16049384,3.286057246065043,80.38014486629933
AARTIIND,2023-11-06,2023-11-12,21881026,5.178181394216762,59.02369476119974
AARVEEDEN,2024-12-23,2024-12-29,655409,7.210576981258698,90.57120564232925
ABB,2024-02-19,2024-02-25,10530469,9.499289464346928,74.6032878150092
ABB,2024-05-13,2024-05-19,5989794,3.5831027267212945,88.04589953384986
ABCAPITAL,2022-11-28,2022-12-04,65655514,3.859274966324555,77.8560231799865
ABSLAMC,2024-04-22,2024-04-28,4126455,3.723238788393546,65.80212858030657
ACC,2021-07-19,2021-07-25,11935387,5.831122773521356,80.09773268585693
ACC,2023-08-28,2023-09-03,10264813,3.155827711726002,66.70389342926785
ACCELYA,2024-01-08,2024-01-14,906301,5.287837636783192,54.58975359125441
ACCURACY,2021-08-02,2021-08-08,13529850,7.060875721816852,91.33644453658154
ACE,2020-11-23,2020-11-29,7054262,4.269010709348195,81.008027410143
ACE,2023-07-03,2023-07-09,7805061,3.823672980290969,81.3010891810089
ACI,2024-02-19,2024-02-25,11259715,6.6768531775598685,89.49242566437172
ACSAL,2024-09-09,2024-09-15,1137000,5.008810572687224,73.77903922235603
ADANIGREEN,2020-06-08,2020-06-14,11588317,4.143599000600415,89.8128923388629
ADANIGREEN,2024-07-29,2024-08-04,41324440,11.357059427609274,55.480605512969035
ADANIPOWER,2022-03-28,2022-04-03,746253493,3.140424518137464,84.63317515661562
ADFFOODS,2020-11-30,2020-12-06,10360525,7.699491061685701,75.52234777825738
ADORWELD,2023-11-06,2023-11-12,1457701,12.81210045528322,75.79197525946488
ADVANIHOTR,2023-10-02,2023-10-08,2825738,4.226464367871106,59.298250425053475
ADVENZYMES,2022-07-18,2022-07-24,1202755,4.818958430855096,41.881015777190925
AETHER,2023-01-02,2023-01-08,712920,3.4212934228290983,42.18318713044107
AFFLE,2022-08-22,2022-08-28,5335235,3.1045904114181826,69.98862944359765
AGARIND,2022-08-01,2022-08-07,1246134,8.30189626188356,42.7981141603477
AGI,2024-12-02,2024-12-08,4617799,5.303276678750196,63.5805222260344
AGNI,2024-01-01,2024-01-07,1085000,3.518918918918919,62.190813197155364
AGSTRA,2023-11-13,2023-11-19,25032573,8.929839650405778,84.49760944403758
AHL,2024-04-08,2024-04-14,3807698,5.892616802253857,66.34213978279891
AHLEAST,2024-01-15,2024-01-21,575286,6.19813394242372,66.37930957480827
AHLUCONT,2021-11-08,2021-11-14,714256,3.290051851180816,69.61567638211747
AIRAN,2024-12-02,2024-12-08,2427162,3.7172903726767528,48.76404888084183
AJANTPHARM,2024-07-29,2024-08-04,2146900,3.3729860512858107,75.1067464038959
AJMERA,2022-01-10,2022-01-16,1130395,6.622696780619269,59.52953748951771
AJOONI,2020-06-29,2020-07-05,971834,8.8696342628367,60.00000212963106
AJOONI,2020-07-27,2020-08-02,1286250,3.0337134303387856,94.39999479347898
AJOONI,2021-04-12,2021-04-18,2029218,3.5499567601421234,55.75808740679981
AKG,2021-03-01,2021-03-07,1316753,5.395511501929964,90.99283456562483
AKG,2022-08-29,2022-09-04,1508945,3.0104431670856857,72.04007230600867
AKSHOPTFBR,2020-06-08,2020-06-14,3781185,4.606203675768039,61.1428554457062
AKSHOPTFBR,2020-12-07,2020-12-13,3590623,3.1697373502856903,59.80392266859795
AKSHOPTFBR,2022-08-29,2022-09-04,8922160,4.953608179691755,60.83916130552802
AKSHOPTFBR,2024-10-14,2024-10-20,18394340,8.01950618502174,74.18699734618752
ALANKIT,2024-05-20,2024-05-26,8888100,11.444293604804626,61.11110903338944
ALKALI,2022-01-10,2022-01-16,1585372,6.435780769311439,63.46863833914644
ALKEM,2023-02-06,2023-02-12,1322710,5.122441444976867,52.54666316664134
ALKEM,2023-11-06,2023-11-12,2933484,4.6555035541356995,56.62573849945145
ALKYLAMINE,2020-11-23,2020-11-29,1285637,3.0752819605075885,69.79976684881822
ALKYLAMINE,2021-04-26,2021-05-02,4688391,6.249425661963326,87.7426681235882
