Stock Name,Symbol
Utkarsh Small F.,UTKARSHBNK
AU Small Finance,AUBANK
Union Bank (I),UNIONBANK
Indian Bank,INDIANB
HDFC Bank,HDFCBANK
Canara Bank,CANBK
Bank of Baroda,BANKBARODA
ICICI Bank,ICICIBANK
CSB Bank,CSBBANK
IndusInd Bank,INDUSINDBK
Federal Bank,FEDERALBNK
Axis Bank,AXISBANK
Bank of Maha,MAHABANK
Kotak Mah. Bank,KOTAKBANK
St Bk of India,SBIN
Bajaj Finserv,BAJAJFINSV
Bajaj Finance,BAJFINANCE
REC Ltd,RECLTD
Shriram Finance,SHRIRAMFIN
I R F C,IRFC
Chola Financial,CHOLAFIN
Muthoot Finance,MUTHOOTFIN
Cholaman.Inv.&Fn,CHOLAHLDNG
Aditya Birla Cap,ABCAPITAL
Manappuram Fin.,MANAPPURAM
SBI Cards,SBICARD
Nestle India,NESTLEIND
I R C T C,IRCTC
Ingersoll-Rand,INGERRAND
Cams Services,CAMS
Ganesh Housing,GANESHHOUC
Mazagon Dock,MAZDOCK
Apar Inds.,APARINDS
Action Const.Eq.,ACE
Sharda Motor,SHARDAMOTR
KPIT Technologi.,KPITTECH
Triveni Turbine,TRITURBINE
Asian Paints,ASIANPAINT
CRISIL,CRISIL
Mahanagar Gas,MGL
Bharat Electron,BEL
Bayer Crop Sci.,BAYERCROP
eClerx Services,ECLERX
Jupiter Wagons,JWL
Ajanta Pharma,AJANTPHARM
Volt.Transform.,VOLTAMP
Polycab India,POLYCAB
LTIMindtree,LTIM
KFin Technolog.,KFINTECH
Natco Pharma,NATCOPHARM
Birlasoft Ltd,BSOFT
Bikaji Foods,BIKAJI
Clean Science,CLEAN
West Coast Paper,WSTCSTPAPR
Godawari Power,GPIL
Persistent Sys,PERSISTENT
Fine Organic,FINEORG
Indraprastha Gas,IGL
Supreme Inds.,SUPREMEIND
Alivus Life,ALIVUS
Man Infra,MANINFRA
Ratnamani Metals,RATNAMANI
Berger Paints,BERGEPAINT
Garden Reach Sh.,GRSE
KEI Industries,KEI
Dhanuka Agritech,DHANUKA
Newgen Software,NEWGEN
Dr Reddy's Labs,DRREDDY
Caplin Point Lab,CAPLIPOINT
Tube Investments,TIINDIA
Vesuvius India,VESUVIUS
Coromandel Inter,COROMANDEL
Archean Chemical,ARCHIDPLY
Blue Star,BLUESTARCO
BASF India,BASF
Grindwell Norton,GRINDWELL
Mankind Pharma,MANKIND
J B Chemicals &,JBCHEPHARM
Varun Beverages,VBL
Sona BLW Precis.,SONACOMS
P I Industries,PIIND
Indiamart Inter.,INDIAMART
Force Motors,FORCEMOT
Poly Medicure,POLYMED
Siemens,SIEMENS
Timken India,TIMKEN
KSB,KSB
Astral,ASTRAL
Mah. Seamless,MAHSEAMLES
Happy Forgings,HAPPYFORGE
Supreme Petroch,SPLPETRO
NESCO,NESCO
Godfrey Phillips,GODFRYPHLP
Dodla Dairy,DODLA
Maruti Suzuki,MARUTI
Deepak Nitrite,DEEPAKNTR
K P R Mill Ltd,KPRMILL
Marksans Pharma,MARKSANS
Gujarat Gas,GUJGASLTD
