Year,Total_Profit,Total_Loss,Win_Percentage,Total_Trades
2015,1378.8510440289974,-2628.57446038723,44.57831325301205,166
2016,4681.86839966476,-2059.0058445334435,55.55555555555556,288
2017,9561.815260648727,-3796.612591356039,60.560344827586206,464
2018,3170.546097561717,-4578.974763274193,32.30088495575221,226
2019,5004.901020884514,-5253.57427418232,44.696969696969695,264
2020,9340.092103481293,-5133.02595615387,54.01785714285714,448
2021,15784.712475255132,-5402.891180515289,60.79664570230609,477
2022,10134.511315226555,-10822.400141000748,50.21008403361344,476
2023,40764.60300695896,-7969.915025472641,67.6510067114094,745
2024,32907.13808619976,-16541.238589584827,48.353552859618716,577
2025,0.0,-753.4000797271729,0.0,6
